Order,Family,Host,Hantavirus (Name in paper),Scientific Name,ICTV,NewOld,Year,Ssegment,Msegment,Lsegment,In Millholand review?,References
Chiroptera,Phyllostomidae,Anoura caudifer,Araquara-like,Orthohantavirus andesense,Yes,new,2007,EF571895.1,,,Yes,de Araujo et al. (2012)
Chiroptera,Phyllostomidae,Diphylla ecaudata,Araquara-like,Orthohantavirus andesense,Yes,new,2007,EF571895.1,,,Yes,de Araujo et al. (2012)
Chiroptera,Vespertilionidae,Pipistrellus abramus,Huangpi,other orthohantavirus,No,old,2016,OQ715448.1,OQ715450.1,OQ715449.1,Yes,Guo et al. (2013)
Chiroptera,Nycteridae,Nycteris hispida,Magboi,other orthohantavirus,No,old,,,,,Yes,Weiss et al. (2012)
Chiroptera,Vespertilionidae,Neoromicia nanus,Mouyassue,other orthohantavirus,No,,2011,,,JQ287716.2,Yes,Sumibcay et al. (2012)
Didelphomorphia,Didelphidae,Micoureus paraguayanus,Araquara-like,Orthohantavirus andesense,Yes,new,2007,EF571895.1,,,Yes,de Araujo et al. (2012)
Didelphomorphia,Didelphidae,Monodelphis iheringi,Araquara-like,Orthohantavirus andesense,Yes,new,2007,EF571895.1,,,Yes,de Araujo et al. (2012)
Didelphomorphia,Didelphidae,Didelphis aurita,Araquara-like,Orthohantavirus andesense,Yes,new,2007,EF571895.1,,,Yes,de Araujo et al. (2012)
Rodentia,Cricetidae,Eothenomys eleusis,Fugong,Orthohantavirus fugongense,Yes,old,2012,KT899701.1,KT899702.1,KT899703.1,No,Ge et al 2016
Rodentia,Muridae,Mus booduga,Lanka,Orthohantavirus lankaense,yes,old,2019,LC553731.1,LC553726.1,LC553730.1,No,Muthusinghe et al 2025 
Rodentia,Cricetidae,Oligoryzomys longicaudatus,Oran,Orthohantavirus andesense,Yes,new,1992,AF482715.1,AF028024.1,,No,"Levis, S. et al 1998"
Rodentia,Cricetidae,Sigmodon hispidus,Ozark,Orthohantavirus ozarkense,Yes,new,2020,PP434907.1,PP434908.1,PP434892.1,No,Mull et al 2023 
Rodentia,Cricetidae,Microtus ochrogaster,Sager Creek,Orthohantavirus sagercreekense,Yes,new,2021,PP905729.1,PP905725.1,PP905726.1,No,Mull et al 2025
