Table S3. Representative host species selected for each genus in the VertLife mammal phylogeny.,
One species per genus was selected based on the most frequently reported association with orthohantaviruses.,
,
Genus,Representative Species
Akodon,Akodon azarae
Anoura,Anoura caudifer
Anourosorex,Anourosorex squamipes
Apodemus,Apodemus agrarius
Bandicota,Bandicota indica
Calomys,Calomys callosus
Cricetulus,Cricetulus barabensis
Crocidura,Crocidura douceti
Didelphis,Didelphis aurita
Diphylla,Diphylla ecaudata
Eliurus,Eliurus majori
Eothenomys,Eothenomys miletus
Holochilus,Holochilus chararius
Hylomyscus,Hylomyscus alleni
Lemmus,Lemmus sibiricus
Loxodontomys,Loxodontomys micropus
Marmosa,Marmosa paraguayanus
Microtus,Microtus californicus
Monodelphis,Monodelphis iheringi
Mus,Mus musculus
Myodes,Myodes rufocanus
Necromys,Necromys benefactus
Neotoma,Neotoma lepida
Neurotrichus,Neurotrichus gibbsii
Niviventer,Niviventer confucianus
Oligoryzomys,Oligoryzomys fulvescens
Ondatra,Ondatra zibethicus
Oryzomys,Oryzomys palustris
Oxymycterus,Oxymycterus quaestor
Peromyscus,Peromyscus maniculatus
Pipistrellus,Pipistrellus abramus
Rattus,Rattus rattus
Reithrodontomys,Reithrodontomys megalotis
Scalopus,Scalopus aquaticus
Sigmodon,Sigmodon hispidus
Sorex,Sorex minutus
Stenocephalemys,Stenocephalemys albipes
Talpa,Talpa europaea
Tamias,Tamias dorsalis
Thapthomys,Thapthomys nigrita
Urotrichus,Urotrichus talpoides
Zygodontomys,Zygodontomys brevicauda
