,,
Virus,Designated Reservoir,Reference
Araucaria,Oligoryzomys,"Raboni SM, Hoffmann FG, Oliveira RC, et al. Phylogenetic characterization of hantaviruses from wild rodents and hantavirus pulmonary syndrome cases in the state of Parana (southern Brazil). J Gen Virol. 2009;90(Pt 9):2166-2171. doi:10.1099/vir.0.011585-0"
Rio Mamore,Oligoryzomys,"de Oliveira RC, Cordeiro-Santos M, Guterres A, Fernandes J, de Melo AX, João GA, Novais MA, Travassos da Rosa ES, Vasconcelos PF, Vilges de Oliveira S, de Albuquerque BC, de Lemos ER. Rio Mamoré virus and hantavirus pulmonary syndrome, Brazil. Emerg Infect Dis. 2014 Sep;20(9):1568-70. doi: 10.3201/eid2009.131472. PMID: 25152089; PMCID: PMC4178416."
Maripa,Oligoryzomys,"de Thoisy B, Matheus S, Catzeflis F, et al. Maripa hantavirus in French Guiana: phylogenetic position and predicted spatial distribution of rodent hosts. Am J Trop Med Hyg. 2014;90(6):988-992. doi:10.4269/ajtmh.13-0257"
Maporal,Oligoryzomys,"Hanson JD, Utrera A, Fulhorst CF. The Delicate Pygmy Rice Rat (Oligoryzomys delicatus) Is the Principal Host of Maporal Virus (Family Bunyaviridae, Genus Hantavirus). Vector-Borne and Zoonotic Diseases. 2011;11(6):691-696. doi:10.1089/vbz.2010.0128"
Playa Del Oro,Oryzomys,"Chu Y-K, Owen RD, Sánchez-Hernández C, Romero-Almaraz MdL, Jonsson CB. Genetic characterization and phylogeny of a hantavirus from Western Mexico. Virus Research. 2008;131(2):180-8."
Carrizal,Reithrodontomys,"Saasa N, Sánchez-Hernández C, de Lourdes Romero-Almaraz M, Guerrero-Ibarra E, Almazán-Catalán A, Yoshida H, et al. Ecology of hantaviruses in Mexico: Genetic identification of rodent host species and spillover infection. Virus Research. 2012;168(1):88-96."
Huitzilac,Reithrodontomys,"Kariwa H, Yoshida H, Sánchez-Hernández C, Romero-Almaraz MdL, Almazán-Catalán JA, Ramos C, et al. Genetic diversity of hantaviruses in Mexico: Identification of three novel hantaviruses from Neotominae rodents. Virus Research. 2012;163(2):486-94."
El Moro Canyon,Reithrodontomys,"Milazzo ML, Cajimat MN, Romo HE, et al. Geographic distribution of hantaviruses associated with neotomine and sigmodontine rodents, Mexico. Emerg Infect Dis. 2012;18(4):571-576. doi:10.3201/eid1804.111028"
Rio Segundo,Reithrodontomys,"Jonsson CB, Figueiredo LT, Vapalahti O. A global perspective on hantavirus ecology, epidemiology, and disease. Clin Microbiol Rev. 2010;23(2):412-41"
Calabazo,Zygodontomys,"Suzán G, Giermakowski JT, Marcé E, Suzán-Azpiri H, Armién B, Yates TL. Modeling hantavirus reservoir species dominance in high seroprevalence areas on the Azuero Peninsula of Panama. Am J Trop Med Hyg. 2006;74(6):1103-1110."
Convict Creek,Peromyscus,"Milazzo ML, Cajimat MN, Romo HE, et al. Geographic distribution of hantaviruses associated with neotomine and sigmodontine rodents, Mexico. Emerg Infect Dis. 2012;18(4):571-576. doi:10.3201/eid1804.111028"
Sin Nombre virus,Peromyscus,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Monongahela virus,Peromyscus,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Bayou virus,Oryzomys,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Black Creek Canal virus,Sigmodon,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Andes virus,Oligoryzomys ,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Laguna Negra virus,Calomys ,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Araraquara virus,Bolomys,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Choclo virus,Oligoryzomys ,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Bermejo virus,Oligoryzomys ,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
Lechiguanas virus,Oligoryzomys ,"Schountz, T.; Prescott, J. Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions. Viruses 2014, 6, 1317-1335. https://doi.org/10.3390/v6031317"
