Table S5,,,,,,,,,
Dataset,Priors,n samples,root mean,root median,root SD,root hpd lower,root hpd upper,ESS root,ESS turnover
Full,"Uniform(500,10000)
+ Beta(0.5,2)",180002,1471.85,1416.62,377.68,813.58,2211.46,906.6,35081.4
Full,"Lognormal(ln2000,0.5) + Beta(0.5,2)",180002,1490.9,1443.64,364.79,862.49,2245.62,1028.3,26430.7
Full,"Uniform(500,10000) + Beta(1,1)",180002,1420.93,1355.19,393.91,765.24,2180.85,882.1,37144.2
Full,"Uniform(500,10000) + Beta(2,5)",180002,1435.32,1374.15,417.89,731.76,2258.44,971.7,32223.3
Full,"Uniform(500,5000) + Beta(0.5,2)",180002,1445.25,1369.32,420.3,771.12,2314.88,624.5,25811.7
NSO,"Uniform(200,5000) + Beta(0.5,2)",90002,307.98,295.98,70.9,200.03,439.75,361.6,14430
NSO,"Lognormal(ln2000,0.5) + Beta(0.5,2)",90002,444.57,428.44,113.5,248.62,666.25,332.8,16298.8
NSO,"Uniform(200,5000) + Beta(1,1)",90002,310.09,293.97,78.08,200.01,463.31,284,20065.7
NSO,"Uniform(200,5000) + Beta(2,5)",90002,297.41,286.51,66.33,200,423.96,356,21050.3
NSO," Uniform(200,3000) + Beta(0.5,2)",90002,304.46,292.98,70.91,200.01,439.11,389.8,15080.9
MEO,"Uniform(500,5000) + Beta(0.5,2)",90002,631.56,601.37,116.01,500,857.66,603.7,15361.6
MEO,"Lognormal(ln2000,0.5) + Beta(0.5,2)",90002,678.73,659.15,161.77,397.71,1014.34,453.5,14696.2
MEO,"Uniform(500,5000) + Beta(1,1)",90002,635.48,604.85,115.88,500,865.2,600.8,24154.8
MEO,"Uniform(500,5000) + Beta(2,5)",90002,615.41,588.73,101.74,500,818.63,656.5,24102
MEO,"Uniform(500,3000) + Beta(0.5,2)",90002,628.53,598.67,109.65,500,849.24,517.2,15966.8
